,country,country_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
79,"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,1964.5709883538102,1973.6831170775,2003.4780404114802,1959.70345525767,1786.8332534159301,1877.02496980508,1940.87615380246,2065.85681362103,2125.3950585933303,2139.6753842145104,2162.06221312493,2150.42558229427,2273.2590717004,2322.54957005345,2389.59710338121,2438.67043072258,2691.87867555472,2773.97973952065,2875.60708494878,3047.4484753131896,3018.76790193016,3009.80317690018,3252.0125704996804,3300.14637177855,3511.98344794976,3425.2401497754104,
80,Gabon,GAB,395.752691117509,445.423014241793,487.65308984527803,862.339627768244,1107.13239975698,1689.33678029516,2807.0122758437396,2323.88470441983,1658.1438876287198,1137.40806772821,3141.86315726623,3617.4921164529205,3542.69310952742,2977.12535334664,2805.8883781976897,2465.0799411182397,2634.55009814441,2165.1829854847897,2980.4398295482397,2608.19688887785,2979.8422004737604,3168.46488745677,2911.46081469015,1972.4895640626603,2088.360267338,2280.61379074344,2368.32870196281,2264.1708944745,2456.59785502078,2216.7819905148003,1744.81089802136,2289.8681828981603,2599.95885866463,3138.5950821386605,3109.99680068636,3625.51778200693,3646.23870359073,4016.06836348092,4529.706488939471,4502.95959443871,4546.93546840613,5153.8558331494205,5087.483911017461,5415.85016960779,6189.8004217352,5161.72562711869,4941.103213311741,4923.51898753204,5186.12376425032,5003.5845524509605
81,United Kingdom,GBR,2253.26401377219,2519.97779955007,2868.53830741313,3235.59248371744,3459.4007875698303,4078.65841353281,3910.5402206748204,4330.54754329455,5498.6457623078295,7012.8114698911595,8862.74614049891,8370.43651248119,8012.12206869725,7639.06623344323,7190.2587282265695,7500.8615140681,9398.68979733848,11492.7083460884,14019.436933818999,14028.016357351698,16325.8550854065,17093.2292341136,17903.471382918302,16107.762696097,17676.3352440756,19007.6758157634,20019.5848381856,22656.6082112797,24654.7949905071,24711.3720851143,24323.142499948997,23943.1887105121,26045.6325111121,29907.2478993137,34949.7808313434,36555.3208940474,38138.843409908,42968.5477120723,39610.8919256804,32307.5477336412,33450.3288974667,35659.6264828942,35451.944248158,35955.0722881987,39485.539909654,37434.615130325496,34036.5767905443,33744.735293636404,35834.9652745681,
82,Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.5274166591929,607.546983201298,654.155169540854,694.706748637157,736.156682689818,866.759888135622,1148.09548778856,1444.6583224186402,1776.2022636518698,2299.0117213864396,2886.6941092011893,2436.23145337295,2718.82847163017,3355.54749829927,3766.69421873067,3906.96222925573,4043.1281934522704,3334.27754779313,3263.5709606306896,3512.17840826118,3867.54537721688,3977.48712965705
83,Ghana,GHA,,238.53748686344397,204.926328805699,234.07956559093998,266.989361085388,251.03583073603698,242.969307429757,278.806836987194,316.65458986485197,337.56434512310904,356.37156230853,334.01041931842,316.307652303232,303.951462002045,312.745756768209,303.968280932371,376.3120350111,322.184935265592,321.542332867868,316.974389879142,346.11743703671203,374.157868494555,354.658371686819,315.564339452554,276.480608120299,326.093561958436,336.494960373597,328.009802157531,347.69556851255,350.199094403992,214.23735786461998,226.78966063352402,255.822974213829,313.845417967302,356.29747108945395,423.378254369278,788.8109174030881,937.529548547123,1059.2583782456402,935.883772371326,1095.75718052856,1220.0784222543302,1239.55933663365,1934.39819616847,1588.04822795409,1455.68615765335,1627.16794425798,1657.9825491434601,1801.5574659741299,1832.4895877267802
84,Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Guinea,GIN,,,,,,,,,,,,,,,,,298.991049075473,315.19050652607496,359.67518867707804,348.08318771266096,375.036759931993,410.445496542104,449.25201994097097,445.58291722489304,449.050628642925,460.291876231528,470.011704143675,455.894447202806,417.524701846606,387.290227084603,325.260229383784,297.693504775063,307.400852811388,322.22353014045103,340.82342014465803,258.60635973844103,402.666198152212,584.932450703751,626.011258856003,568.7236595704641,562.530254456858,543.130271093015,599.707560595269,623.591001086574,647.4276756640901,653.844099372213,612.100744535057,722.745664250567,727.109358917603,843.559893729555
86,"Gambia, The",GMB,,,,,,,,,,,324.672261683359,285.646746121521,276.527032118606,246.485919356206,217.08170805481097,294.995849551925,242.169819934381,268.117529660091,275.517879770032,255.904847689012,265.625428014651,590.7382404179099,587.507658396049,597.793104722761,572.068628668822,584.556538735456,609.299199122233,549.845511284485,554.8276717219841,519.6272142896,481.144190341519,405.47393225698,321.247777814276,261.837824435595,528.325308053174,547.727370289478,538.673951408981,631.5921969339009,745.71083743972,660.800198053442,676.4490320456009,576.704103503286,554.6851238330249,526.005072769286,458.832903543955,497.20870411846397,512.946242570161,510.323617249799,576.457997155053,612.177984199603
87,Guinea-Bissau,GNB,,,,,,,,,,,124.56850080532,180.621254771719,188.52932346685,183.75273030685298,151.913940366195,169.584558315313,136.269951604312,170.226243868259,156.290318811072,198.429889352155,225.854070571422,226.799419199657,192.60618355251702,198.057799792998,195.020535632079,203.113043613193,212.975947362703,212.40623645479198,155.863300146917,168.674670928521,281.66941530663297,290.400276854507,308.242810885141,343.579118879615,375.85517804372495,404.381708565833,401.365696234022,461.823947782197,553.2202903634881,516.123064390177,520.609542571705,665.887979366211,580.671255496742,582.246333853274,607.450353020161,586.177932804628,645.071347313421,703.8459468584241,737.129751535263,711.898735993866
88,Equatorial Guinea,GNQ,,,,,,,,,,,175.243627739315,100.25802368707501,106.36043431233801,117.88361277273,128.448185629182,145.065272361784,170.486325182928,208.022140441415,213.117452032748,179.086874098616,260.412398420148,257.584485779447,306.821929742929,259.432602011177,144.158306072877,179.56385205463698,271.19310558749197,262.93621252234,294.619888458499,223.750111180571,,,,,,,1452.8046417864002,3946.7350195214794,4516.0920892451095,4282.6579468529,2077.82703746345,3163.08014116432,3972.35802914992,5047.393241994079,5679.38790828881,5225.95557349895,4700.8454539635495,4015.2178745876,4103.955263089229,3302.10555377672
89,Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20770.995526553703,23881.0009232377,26194.6999283375,24324.8764214246,21584.3747199694,20162.1169797827,18053.541800926498,17785.6047735708,17960.7159537225,14990.1905854477,14825.5835411305,15517.524640708602,16411.646041430202,16096.9264707927
90,Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
