IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,URY,Uruguay,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.15,,,87.09,,90.91,89.15 [87.09 – 90.91],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.17,,,86.65,,91.26,89.17 [86.65 – 91.26],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.18,,,87.56,,90.61,89.18 [87.56 – 90.61],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,BRA,Brazil,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.2,,,87.37,,90.79,89.2 [87.37 – 90.79],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,ISR,Israel,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.21,,,87.63,,90.62,89.21 [87.63 – 90.62],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.23,,,86.65,,91.35,89.23 [86.65 – 91.35],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.3,,,86.88,,91.31,89.3 [86.88 – 91.31],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.41,,,87.45,,91.09,89.41 [87.45 – 91.09],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2005,false,Sex,Both sexes,BTSX,,,,,,,,,,89.57,,,87.57,,91.28,89.57 [87.57 – 91.28],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.64,,,87.65,,91.34,89.64 [87.65 – 91.34],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,ARG,Argentina,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.72,,,87.83,,91.35,89.72 [87.83 – 91.35],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.72,,,88.17,,91.09,89.72 [88.17 – 91.09],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2005,false,Sex,Male,MLE,,,,,,,,,,89.73,,,83.26,,93.89,89.73 [83.26 – 93.89],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.76,,,86.8,,92.11,89.76 [86.8 – 92.11],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,89.94,,,87.82,,91.73,89.94 [87.82 – 91.73],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EUR,Europe,Country,PRT,Portugal,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.21,,,88.61,,91.6,90.21 [88.61 – 91.6],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.23,,,88.41,,91.8,90.23 [88.41 – 91.8],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.39,,,88.17,,92.22,90.39 [88.17 – 92.22],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.67,,,88.51,,92.45,90.67 [88.51 – 92.45],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2005,false,Sex,Both sexes,BTSX,,,,,,,,,,90.68,,,88.55,,92.44,90.68 [88.55 – 92.44],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.69,,,88.72,,92.35,90.69 [88.72 – 92.35],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.74,,,88.83,,92.36,90.74 [88.83 – 92.36],,,EN,2019-11-14T06:00:00.000Z
NCD_PAC_ADO,Insufficiently active (crude estimate),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2005,false,Sex,Female,FMLE,,,,,,,,,,90.79,,,88.98,,92.33,90.79 [88.98 – 92.33],,,EN,2019-11-14T06:00:00.000Z
